,title,1,2,3,4
34,Aquaman Official Soundtrack  Everything I Need Film Version - Skylar Grey  WaterTower.3gpp.mp3,9.0,5.0,5.0,0.0
35,Armin van Buuren x Lucas & Steve feat Josh Cumbee - Dont Give Up On Me (Club Mix) [Official Video].3gpp.mp3,10.0,4.0,0.0,1.0
36,Ava Max - Not Your Barbie Girl (Lyrics).3gpp.mp3,9.0,4.0,4.0,0.0
37,Ava Max - So Am I (Lyrics).3gpp.mp3,10.0,0.0,3.0,0.0
38,Avicii - Dear Boy 한글가사.3gpp.mp3,7.0,3.0,5.0,0.0
39,Avicii - Waiting For Love.3gpp.mp3,10.0,3.0,4.0,0.0
40,Avicii - Wake Me Up (Official Video).3gpp.mp3,10.0,1.0,3.0,1.0
41,Axollo - Burn It [NCS Release].3gpp.mp3,7.0,5.0,5.0,1.0
42,Axwell Λ Ingrosso - More Than You Know (Official Video).3gpp.mp3,7.0,1.0,0.0,5.0
43,back number - エンディング cover.3gpp.mp3,9.0,5.0,4.0,4.0
44,back number - 大不正解 (full).3gpp.mp3,7.0,3.0,0.0,0.0
45,Backstreet Boys - I Want It That Way (Official HD Video).3gpp.mp3,9.0,4.0,0.0,3.0
46,BAP - 대박사건 (Crash) AUDIO w Lyrics.3gpp.mp3,8.0,2.0,1.0,2.0
47,Beautiful Pain (아름답고도 아프구나).3gpp.mp3,9.0,0.0,2.0,2.0
48,Bebe Rexha - Im A Mess [Official Music Video].3gpp.mp3,10.0,5.0,0.0,5.0
49,Because Youre Pretty (예쁘잖아).3gpp.mp3,8.0,4.0,5.0,2.0
50,BEO (비오) - 리무진 (Feat MINO) (Prod GRAY) [쇼미더머니 10 Episode 3]ㅣLyrics가사.3gpp.mp3,10.0,3.0,4.0,0.0
51,Big Bang - Haru Haru (하루 하루) [HangulRomanizationEnglish] Color & Picture Coded HD.3gpp.mp3,8.0,5.0,3.0,4.0
52,BIG Naughty (서동현) - Joker (Feat JAMIE) [Bucket List]ㅣLyrics가사.3gpp.mp3,9.0,5.0,2.0,1.0
53,BIG Naughty (서동현) - Vancouver [Lovey Dovey]ㅣLyrics가사.3gpp.mp3,10.0,0.0,0.0,3.0
54,BIG Naughty (서동현) - 정이라고 하자 (Feat 10CM) [정이라고 하자]ㅣLyrics가사.3gpp.mp3,10.0,0.0,5.0,0.0
55,Big Shaq  - Mans Not Hot Lyrics.3gpp.mp3,9.0,1.0,3.0,3.0
56,BIGBANG - 봄여름가을겨울 (Still Life) MV.3gpp.mp3,10.0,2.0,1.0,5.0
57,BLACKPINK - Lovesick Girls MV.3gpp.mp3,7.0,0.0,3.0,2.0
58,Blade & Soul OST  -  바람이 잠든 곳으로 cover.3gpp.mp3,10.0,3.0,2.0,2.0
59,Blue.3gpp.mp3,8.0,2.0,3.0,0.0
60,Bobby - Runaway + Colour Coded Lyrics HanRomEng.3gpp.mp3,9.0,1.0,1.0,2.0
61,BTOB 4U (비투비 포유) - Show Your Love Lyrics (Color Coded_Han_Rom_Eng).3gpp.mp3,7.0,0.0,4.0,4.0
62,BTS (방탄소년단) - Dynamite┃Cover by Raon Lee.3gpp.mp3,9.0,1.0,0.0,2.0
63,BTS (방탄소년단) Dynamite Official MV.3gpp.mp3,9.0,5.0,1.0,2.0
64,BTS (방탄소년단) Spring Day (봄날) 🌸 Lyrics [Color Coded Han_Rom_Eng].3gpp.mp3,8.0,2.0,2.0,0.0
65,BTS - Blood Sweat & Tears (방탄소년단 - 피 땀 눈물) [Color Coded LyricsHanRomEng가사].3gpp.mp3,10.0,5.0,0.0,3.0
66,Burak Yeter - California feat Nino Lucarelli (Official Lyric Video).3gpp.mp3,8.0,1.0,2.0,4.0
67,Cascada - Bad Boy (lyrics).3gpp.mp3,7.0,1.0,0.0,0.0
68,Chainsaw Man - Ending 2 Full『Time Left』by ZUTOMAYO.3gpp.mp3,7.0,1.0,3.0,4.0
69,Charlie Puth - Attention [Official Video].3gpp.mp3,10.0,0.0,2.0,4.0
70,Charlie Puth - Empty Cups [Official Audio].3gpp.mp3,10.0,1.0,4.0,4.0
71,Childish Gambino - Redbone [가사해석번역].3gpp.mp3,7.0,2.0,2.0,4.0
72,christina perri - you mean the whole wide world to me.3gpp.mp3,9.0,2.0,0.0,4.0
73,Clean Bandit - Rockabye (한국어 가사해석자막).3gpp.mp3,9.0,5.0,2.0,1.0
74,CNBLUE - LOVE.3gpp.mp3,7.0,4.0,3.0,0.0
75,CNBLUE Love Cut Lyrics 씨엔블루 싹둑 가사.3gpp.mp3,9.0,3.0,4.0,5.0
76,Coldplay - Everglow (한국어 자막해석가사).3gpp.mp3,9.0,5.0,1.0,2.0
77,Coldplay - Hymn For The Weekend (Official Video).3gpp.mp3,7.0,3.0,2.0,3.0
78,DAOKO × 米津玄師『打上花火』MUSIC VIDEO.3gpp.mp3,7.0,1.0,2.0,1.0
79,Darin - Be What You Wanna Be [ lyric ].3gpp.mp3,9.0,1.0,0.0,4.0
80,Dean - D (Half Moon) ft Gaeko.3gpp.mp3,7.0,1.0,5.0,1.0
81,DEAN - instagram.3gpp.mp3,8.0,0.0,1.0,4.0
82,DETECTIVE CONAN ED 35 - Hello Mr My Yesterday┃Raon Lee x E Hyuk.3gpp.mp3,9.0,2.0,1.0,2.0
83,DIA (다이아) – Will you go out with me (나랑 사귈래) Lyrics (HanRomEngCOLOR CODED).3gpp.mp3,10.0,1.0,0.0,5.0
84,DNCE - Cake By The Ocean.3gpp.mp3,8.0,4.0,3.0,5.0
85,Doja Cat - Say So (Official Video).3gpp.mp3,9.0,3.0,2.0,5.0
86,dosii - lovememore.3gpp.mp3,9.0,2.0,2.0,5.0
87,Dua Lipa & BLACKPINK - Kiss and Make Up (Official Audio).3gpp.mp3,7.0,5.0,3.0,2.0
88,Earth Wind & Fire - Lets Groove (Official HD Video).3gpp.mp3,7.0,4.0,0.0,3.0
89,Ed Sheeran - I See Fire (Music Video).3gpp.mp3,7.0,1.0,3.0,1.0
90,Ed Sheeran - South of the Border (feat Camila Cabello & Cardi B) [Official Lyric Video].3gpp.mp3,7.0,5.0,2.0,0.0
91,Eiffel 65 - Blue (KNY Factory Remix).3gpp.mp3,7.0,3.0,2.0,1.0
92,Elle Varner - Only Wanna Give It To You ft J Cole.3gpp.mp3,7.0,5.0,0.0,5.0
93,Em Beihold - Numb Little Bug (Piano Version) (Official Video).3gpp.mp3,10.0,5.0,4.0,4.0
94,Etham (에담) - 1245 [가사해석번역자막].3gpp.mp3,10.0,4.0,3.0,0.0
95,Every Time We Touch (Cascada) - POP PUNK COVER by Jonathan Young.3gpp.mp3,7.0,3.0,2.0,4.0
96,Exit Sign - Kah-Lo (FIFA 21 Official Volta Soundtrack).3gpp.mp3,8.0,3.0,1.0,2.0
97,Fall In Love (Fall In Love).3gpp.mp3,8.0,3.0,4.0,0.0
98,Flashback (Flashback).3gpp.mp3,7.0,0.0,3.0,5.0
99,Florina - Va va vis.3gpp.mp3,7.0,3.0,0.0,0.0
100,flos　歌ってみた　【いゔどっと】.3gpp.mp3,9.0,0.0,4.0,4.0
101,Fly Me To The Moon - Lofi Cover (Prod YungRhythm).3gpp.mp3,7.0,3.0,1.0,5.0
102,Fujii Kaze - Kirari (Official Video).3gpp.mp3,8.0,4.0,5.0,2.0
103,Galantis - San Francisco feat Sofia Carson (Official Music Video).3gpp.mp3,9.0,3.0,2.0,1.0
104,Galaxy.3gpp.mp3,8.0,0.0,1.0,0.0
105,Gdragon  This Love (Korean Version).3gpp.mp3,10.0,0.0,1.0,5.0
106,GO HIGH Remix -  루피 오왼 창모 우원재 더 콰이엇 (Prod by CODE KUNST).3gpp.mp3,10.0,2.0,2.0,4.0
107,Heart Shaker.3gpp.mp3,10.0,1.0,3.0,7.0
108,Heize (헤이즈) - 돌아오지마 (Feat 용준형 Of BEAST 비스트).3gpp.mp3,7.0,2.0,0.0,1.0
109,HeMeets - 01 Cecil Hotel 세실호텔 (Official Audio) with lyric.3gpp.mp3,10.0,2.0,2.0,4.0
110,HeMeets - 05 곡부득이소정가(Official Audio) with lyric.3gpp.mp3,10.0,4.0,3.0,2.0
111,Hokkaido 《北海道之小樽日记》.3gpp.mp3,8.0,4.0,3.0,5.0
112,Howls Moving Castle - Merry go round of Life cover but with vocals by YAØ.3gpp.mp3,8.0,1.0,5.0,1.0
113,Hwang Minhyun [황민현] Of NUEST [뉴이스트] - UNIVERSE (별의 언어) Lyrics가사 [HanRomEng].3gpp.mp3,8.0,3.0,1.0,5.0
114,I Love U Oh Thank U (Feat 김태우).3gpp.mp3,9.0,1.0,1.0,2.0
115,I Still Love You (추억은 만남보다 이별에 남아).3gpp.mp3,7.0,2.0,0.0,1.0
116,I think you’re not missing me (넌 내가 보고 싶지 않나 봐).3gpp.mp3,7.0,3.0,4.0,1.0
117,If You Were a Woman x Barbie Girl x Not Your Barbie Girl x Around the World x My Head & My Heart.3gpp.mp3,10.0,3.0,4.0,4.0
118,ILIRA - EXTRA FR!ES (Lyrics).3gpp.mp3,9.0,5.0,5.0,1.0
119,Into Bloom (피었습니다 (Into Bloom)).3gpp.mp3,9.0,4.0,4.0,5.0
120,It Must Have Been Love(사랑했나봐) - Jang Hye Jin [HanRomEng].3gpp.mp3,10.0,5.0,2.0,2.0
121,IU (아이유) – Jam jam (잼잼) Lyrics (HanRomEng).3gpp.mp3,10.0,3.0,4.0,0.0
122,Jami Soul - She (Morello Malt Remix)  Music Hot This Week  抖音  TikTok.3gpp.mp3,9.0,1.0,0.0,5.0
123,Jamiroquai - Virtual Insanity (Official 4K Video).3gpp.mp3,8.0,5.0,3.0,5.0
124,Joel Adams - Please Dont Go (Lyrics).3gpp.mp3,10.0,1.0,4.0,0.0
125,John K - parachute (One-take Music Video).3gpp.mp3,7.0,4.0,4.0,4.0
126,Jonas Blue - Rise ft Jack & Jack (Official Video).3gpp.mp3,8.0,3.0,1.0,2.0
127,Jonas Brothers - Sucker (Official Video).3gpp.mp3,7.0,3.0,3.0,3.0
128,Jungkook (BTS) Still With You Lyrics.3gpp.mp3,8.0,4.0,5.0,3.0
129,K-391 - Lighthouse (Lyrics Video).3gpp.mp3,8.0,3.0,3.0,1.0
130,KEY 키 I Wanna Be (Feat 소연 of (여자)아이들) MV.3gpp.mp3,10.0,0.0,2.0,1.0
131,KICK BACK.3gpp.mp3,10.0,0.0,3.0,2.0
132,King Gnu - 白日.3gpp.mp3,7.0,5.0,1.0,0.0
133,King Gnu - 逆夢.3gpp.mp3,7.0,1.0,0.0,2.0
134,KSHMR & Marnik (ft The Golden Army) - SHIVA (Sunburn 2017 Anthem) [Official Audio].3gpp.mp3,8.0,4.0,2.0,5.0
135,KSHMR & Marnik - Bazaar (Official Sunburn Goa 2015 Anthem) [Official Music Video].3gpp.mp3,10.0,5.0,4.0,5.0
136,KSHMR - Magic [Official Audio].3gpp.mp3,8.0,4.0,5.0,5.0
137,KSHMR - My Best Life (feat Mike Waters) [Official Lyric Video].3gpp.mp3,8.0,2.0,0.0,1.0
138,Lauv - Never Not 한글가사해석.3gpp.mp3,10.0,2.0,0.0,0.0
139,Loote - are you sure (Audio).3gpp.mp3,10.0,4.0,5.0,1.0
140,Major Lazer & DJ Snake - Lean On (feat MØ) (Official Music Video).3gpp.mp3,10.0,4.0,5.0,5.0
141,Major Lazer - Blow That Smoke (Feat Tove Lo) (Brazil Edition).3gpp.mp3,7.0,5.0,5.0,3.0
142,Major Lazer - Cold Water (feat Justin Bieber & MØ) (Official Lyric Video).3gpp.mp3,10.0,5.0,5.0,0.0
143,Major Lazer – Light it Up Remix (feat Nyla & Fuse ODG) (Music Video) by Method Studios.3gpp.mp3,7.0,1.0,0.0,0.0
144,MAKJ & Timmy Trumpet - Party Till We Die feat Andrew WK.3gpp.mp3,10.0,4.0,2.0,0.0
145,Maroon 5 - Maps (Lyric Video).3gpp.mp3,8.0,0.0,3.0,0.0
146,Maroon 5 - Memories (한글 가사 해석).3gpp.mp3,8.0,1.0,2.0,5.0
147,Martin Garrix & Julian Jordan - Glitch (Official Video).3gpp.mp3,10.0,2.0,2.0,2.0
148,Martin Garrix & Justin Mylo - Burn Out (Official Video) feat Dewain Whitmore.3gpp.mp3,7.0,1.0,4.0,0.0
149,merrymerryseoul - 바보야 (by 에이민) (Prod H!).3gpp.mp3,10.0,4.0,0.0,0.0
150,Mike Parr ft Leeah COE - Turn It Up (COE Remix).3gpp.mp3,10.0,3.0,0.0,5.0
151,Mike Perry - The Ocean (ft Shy Martin) [Lyrics CC].3gpp.mp3,7.0,2.0,0.0,0.0
152,Mike Williams - Rocket (Official Audio).3gpp.mp3,8.0,5.0,4.0,3.0
153,Mike Williams - Wait For You (feat Maia Wright) [Official Music Video].3gpp.mp3,9.0,5.0,4.0,0.0
154,Mike Williams x Mesto - Wait Another Day (Official Music Video).3gpp.mp3,9.0,5.0,0.0,3.0
155,Minit - 2021 (Feat AVOKID (에이보키드) BIG Naughty (서동현)) [2021]ㅣLyrics가사.3gpp.mp3,7.0,0.0,3.0,5.0
156,Mokita - London (Lyrics).3gpp.mp3,9.0,5.0,4.0,0.0
157,MOM (엠오엠) - Foolish Love [바라만 본다] MSG워너비 [놀면 뭐하니] Color Coded Lyrics가사 [HanRomEng].3gpp.mp3,7.0,2.0,3.0,2.0
158,MØ Diplo - Sun In Our Eyes.3gpp.mp3,10.0,1.0,4.0,2.0
159,NCT 127 vs 여자친구 (GFRIEND) - 영해웅야 (英海雄野 Sunrise Kick) (feat Leslie Cheung) (JEB Mashup).3gpp.mp3,8.0,1.0,0.0,1.0
160,New Hope Club Danna Paola – Know Me Too Well (한글 자막가사번역가사해석lyrics).3gpp.mp3,7.0,2.0,2.0,2.0
161,NF - When I Grow Up (가사자막해석).3gpp.mp3,9.0,4.0,3.0,5.0
162,NFlying (엔플라잉) – FLOWER FANTASY.3gpp.mp3,9.0,3.0,2.0,3.0
163,Nightcore - Take You To Hell (Ava Max) - (Lyrics).3gpp.mp3,10.0,1.0,1.0,4.0
164,Nightcore - 夢と葉桜  Yume To Hazakura「 ヲタみん  Wotamin Cover 」Original song by 青木月光  Aoki Gekkoh.3gpp.mp3,8.0,4.0,3.0,0.0
165,NITEMAYOR - Vampire (Official Video).3gpp.mp3,9.0,0.0,3.0,1.0
166,NoNo (Feat 사이먼 도미닉 Simon Dominic) (Prod 코드 쿤스트 CODE KUNST).3gpp.mp3,9.0,8.0,1.0,4.0
167,Obsessions - Ramin feat Adilynn [Indie Pop Music].3gpp.mp3,7.0,3.0,4.0,4.0
168,One Direction - Night Changes (Lyrics).3gpp.mp3,8.0,5.0,2.0,3.0
169,One Direction - What Makes You Beautiful (Official Video).3gpp.mp3,9.0,0.0,0.0,10.0
170,OneRepublic - Counting Stars (Official Music Video).3gpp.mp3,9.0,1.0,3.0,5.0
171,Outlaws of Love.3gpp.mp3,10.0,2.0,4.0,3.0
172,Owl City & Carly Rae Jepsen - Good Time (Official Video).3gpp.mp3,10.0,5.0,2.0,9.0
173,Perfect - Ed Sheeran (Lyrics).3gpp.mp3,7.0,1.0,5.0,5.0
174,pH-1 키드밀리(Kid Milli) 루피(Loopy) - Good Day (Feat 팔로알토) (Prod 코드 쿤스트).3gpp.mp3,8.0,0.0,1.0,2.0
175,Pitbull - Timber Ft Keha  (가사번역).3gpp.mp3,9.0,0.0,1.0,3.0
176,Post Malone - I Like You (A Happier Song) w Doja Cat [Official Music Video].3gpp.mp3,8.0,3.0,4.0,4.0
177,Red Velvet 레드벨벳 Queendom MV.3gpp.mp3,10.0,5.0,5.0,3.0
178,Rival x Cadmium - Seasons (feat Harley Bird) [Futuristik & Whogaux Remix] [NCS Release].3gpp.mp3,9.0,3.0,2.0,5.0
179,Rixton - Me and My Broken Heart (Official Video).3gpp.mp3,10.0,4.0,1.0,0.0
180,Robin Hustin x TobiMorrow - Light It Up (feat Jex) [NCS Release].3gpp.mp3,7.0,3.0,2.0,1.0
181,SACRIFICE - Chloë Black (FIFA 21 Official Soundtrack).3gpp.mp3,8.0,4.0,5.0,5.0
182,Safe & Sound feat The Civil Wars (The Hunger Games Songs From District 12 And Beyond).3gpp.mp3,8.0,0.0,4.0,4.0
183,Sam Smith - Fire On Fire (From Watership Down).3gpp.mp3,9.0,0.0,2.0,1.0
184,Secret Garden (비밀의 화원).3gpp.mp3,8.0,4.0,5.0,1.0
185,Seum Dero Ellen Louise - Tell Me (Lyric Video).3gpp.mp3,9.0,2.0,3.0,5.0
186,SG워너비  - 아리랑(4인버전) [Color Coded_Han_Rom_Eng]  김진호 이석훈 김용준 채동하 SG워너비 아리랑김진호이석훈김용준.3gpp.mp3,9.0,0.0,0.0,5.0
187,Shawn Mendes - Where Were You In The Morning (lyrics).3gpp.mp3,8.0,0.0,5.0,2.0
188,Sia - Move Your Body (Alan Walker Remix - Official Audio).3gpp.mp3,7.0,4.0,0.0,5.0
189,Sick Enough to Die (Feat Mellow).3gpp.mp3,8.0,2.0,1.0,2.0
190,Silver (USA) - Wham Bam Shang-A-Lang [가사해석번역].3gpp.mp3,9.0,5.0,3.0,5.0
191,Smith & Thell feat Swedish Jam Factory - Forgive Me Friend (Official Video).3gpp.mp3,8.0,3.0,3.0,3.0
192,sokodomo - 회전목마 (Feat ZionT 원슈타인) (Prod Slom) [쇼미더머니 10 Episode 2]ㅣLyrics가사.3gpp.mp3,9.0,5.0,2.0,0.0
193,Something Just Like This Tik Tok Remix 花臂轩.3gpp.mp3,7.0,3.0,4.0,1.0
194,Spring day goes (봄날은 간다).3gpp.mp3,7.0,3.0,2.0,1.0
195,Starry Eyed.3gpp.mp3,8.0,1.0,0.0,0.0
196,Sting - Englishman In New York.3gpp.mp3,9.0,1.0,5.0,1.0
197,Stray Kids vs Mike Cervello - 神메뉴 (The Birth Of Gods Menu) (feat Daler Mehndi) (JEB Edit).3gpp.mp3,7.0,5.0,3.0,4.0
198,summertime (cinnamons × evening cinema) ／ダズビー x ドンダンCOVER.3gpp.mp3,7.0,5.0,4.0,3.0
199,Talking to the Moon.3gpp.mp3,7.0,1.0,5.0,2.0
200,Taylor Swift - Never Grow Up 한글가사해석.3gpp.mp3,7.0,3.0,5.0,5.0
201,THAT GIRL (THAT GIRL).3gpp.mp3,8.0,0.0,2.0,2.0
202,That Girl - Olly Murs (Unofficial Video).3gpp.mp3,7.0,4.0,3.0,0.0
203,The Chainsmokers & Coldplay - Something Just Like This (Lyric).3gpp.mp3,9.0,0.0,2.0,0.0
204,Ticket To Ride - KAWALA  (FIFA 21 Official Soundtrack).3gpp.mp3,9.0,5.0,1.0,3.0
205,Tiësto & KSHMR feat Vassy - Secrets (Official Music Video).3gpp.mp3,10.0,4.0,3.0,5.0
206,TOIL - 다시 걸을 때 (Feat 헤이즈 BIG Naughty) [Between Sat & Sun]ㅣLyrics가사.3gpp.mp3,9.0,1.0,3.0,2.0
207,TOIL Kid Wine - 네 옆에 그 사람은 내가 아닌 다른사람ㅣLyrics가사.3gpp.mp3,10.0,2.0,3.0,1.0
208,Treat You Better- Shawn Mendes (Lyrics).3gpp.mp3,9.0,1.0,4.0,4.0
209,TWICE (트와이스) YES OR YES (Color Coded EngRomHan가사).3gpp.mp3,10.0,3.0,5.0,5.0
210,Tyron Hapi Ft Mimoza - Anyway (Official Lyric Video).3gpp.mp3,8.0,4.0,0.0,5.0
211,Uchiagehanabi.3gpp.mp3,10.0,1.0,2.0,0.0
212,Vicetone - South Beach.3gpp.mp3,8.0,0.0,1.0,2.0
213,Vicetone feat Kat Nestel - Angels (Official Video).3gpp.mp3,10.0,0.0,4.0,2.0
214,VILLAIN DIES.3gpp.mp3,9.0,1.0,2.0,2.0
215,Way Back Home.3gpp.mp3,9.0,4.0,1.0,10.0
216,When It Rains In Night (밤에 비가 내리면).3gpp.mp3,9.0,5.0,4.0,1.0
217,WINNER - ISLAND MV.3gpp.mp3,7.0,2.0,1.0,2.0
218,WINNER - REALLY REALLY MV.3gpp.mp3,7.0,0.0,0.0,3.0
219,WINNER - ‘I LOVE U’ MV.3gpp.mp3,9.0,1.0,2.0,2.0
220,WITH YOU (NGẪU HỨNG)  HOAPROX NICK STRAND & MIO  OFFICIAL MV.3gpp.mp3,10.0,3.0,3.0,3.0
221,Wiz Khalifa - See You Again ft Charlie Puth [Official Video] Furious 7 Soundtrack.3gpp.mp3,10.0,3.0,3.0,3.0
222,yama - 春を告げる (Official Video).3gpp.mp3,7.0,2.0,3.0,2.0
223,Years & Years MNEK - Valentino (Official Video).3gpp.mp3,7.0,0.0,3.0,4.0
224,YOASOBI - 夜に駆ける  THE HOME TAKE.3gpp.mp3,10.0,3.0,4.0,3.0
225,YOASOBI - 夜に駆ける (Yoru ni Kakeru)┃Cover by Raon Lee.3gpp.mp3,9.0,4.0,3.0,4.0
226,YOASOBI「たぶん」Official Music  Video.3gpp.mp3,8.0,1.0,0.0,0.0
227,Zedd Alessia Cara - Stay (Lyric Video).3gpp.mp3,9.0,1.0,3.0,5.0
228,Zedd Maren Morris & BEAUZ - Make You Say 한글가사.3gpp.mp3,8.0,2.0,2.0,5.0
229,zoodasa painkiller (Ruel).3gpp.mp3,7.0,5.0,3.0,0.0
230,[ 3D 입체음향 ] King Gnu - 역몽(逆夢) 「자막완료!」.3gpp.mp3,9.0,5.0,3.0,0.0
231,[ 가사 해석 ] 할츠 앤 컬러스 (Hearts & Colors) - LA On A Saturday Night ｜ 자막 채널 루나 ☪︎.3gpp.mp3,9.0,1.0,5.0,3.0
232,[3D Sound] SoHyang (소향)  -  Sweet dream My dear (LOST ARK - Elgasia OST) 🎧.3gpp.mp3,8.0,4.0,1.0,1.0
233,[3D입체음향] Aimer -  Last Stardust [자막고음질].3gpp.mp3,7.0,3.0,3.0,1.0
234,[AUDIO] B1A4 (산들Solo) - 짝사랑.3gpp.mp3,8.0,3.0,3.0,4.0
235,[Audio] OOHYO (우효) - Vineyard (빈야드).3gpp.mp3,7.0,5.0,3.0,4.0
236,[cover] vivi  PARED.3gpp.mp3,8.0,2.0,0.0,2.0
237,[cover] 夜もすがら君想ふ  PARED.3gpp.mp3,9.0,5.0,4.0,2.0
238,[cover] 大不正解  PARED.3gpp.mp3,7.0,5.0,2.0,4.0
239,[cover] 天ノ弱  PARED.3gpp.mp3,8.0,2.0,1.0,0.0
240,[cover] 幽霊東京 yama.3gpp.mp3,8.0,4.0,2.0,5.0
241,[Cover] 월광(月光) - Yui Ver [원곡 - 오니츠카 치히로  原曲 - 鬼束ちひろ].3gpp.mp3,8.0,1.0,2.0,0.0
242,[ENG SUB] [놀면 뭐하니 후공개] SG 워너비 - 내 사람 풀영상 (Hangout with Yoo - MSG Wannabe YooYaHo).3gpp.mp3,9.0,2.0,3.0,2.0
243,[ENG SUB] [놀면 뭐하니 후공개] SG워너비 - Timeless 풀영상 (Hangout with Yoo - MSG Wannabe YooYaHo).3gpp.mp3,10.0,2.0,5.0,1.0
244,[ENGESPHANGUL] Giriboy (기리보이) - 그 정도 쯤이야 (So so).3gpp.mp3,8.0,5.0,3.0,4.0
245,[ENGESPHANGUL] Giriboy (기리보이) feat 프롬 - 우결 (We Got Married).3gpp.mp3,9.0,2.0,1.0,3.0
246,[ENG] SMTM9 [6회풀버전] VVS - 머쉬베놈 X 미란이 @음원 배틀 Full ver EP6 201120.3gpp.mp3,10.0,3.0,2.0,2.0
247,[FMV] 고백 (Confession 영화 동감 OST) 김지우(Chuu).3gpp.mp3,10.0,2.0,1.0,5.0
248,[KOREA DJ ] VANDAL ROCK - Worth It (Original Mix).3gpp.mp3,7.0,1.0,1.0,1.0
249,[LG 벨벳 광고 음악] Johnny Stimson - Gimme Gimme [가사해석자막].3gpp.mp3,10.0,5.0,3.0,1.0
